id,sleep_day,total_sleep_records,total_minutes_asleep,total_time_in_bed,date,sleep_hours,time_in_bed_hours,awake_time_in_bed_minutes
2347167796,2016-04-22,1,405,461,2016-04-22,6.75,7.68,56
2347167796,2016-04-23,1,374,386,2016-04-23,6.23,6.43,12
2347167796,2016-04-24,1,442,459,2016-04-24,7.37,7.65,17
2347167796,2016-04-25,1,433,471,2016-04-25,7.22,7.85,38
2347167796,2016-04-26,1,436,490,2016-04-26,7.27,8.17,54
2347167796,2016-04-27,1,448,499,2016-04-27,7.47,8.32,51
2347167796,2016-04-28,1,408,450,2016-04-28,6.8,7.5,42
2347167796,2016-04-29,1,411,473,2016-04-29,6.85,7.88,62
3977333714,2016-04-12,1,274,469,2016-04-12,4.57,7.82,195
3977333714,2016-04-13,2,295,456,2016-04-13,4.92,7.6,161
3977333714,2016-04-14,1,291,397,2016-04-14,4.85,6.62,106
3977333714,2016-04-15,1,424,556,2016-04-15,7.07,9.27,132
3977333714,2016-04-16,1,283,510,2016-04-16,4.72,8.5,227
3977333714,2016-04-17,1,381,566,2016-04-17,6.35,9.43,185
3977333714,2016-04-18,2,412,522,2016-04-18,6.87,8.7,110
3977333714,2016-04-19,1,219,395,2016-04-19,3.65,6.58,176
3977333714,2016-04-20,2,152,305,2016-04-20,2.53,5.08,153
3977333714,2016-04-21,1,332,512,2016-04-21,5.53,8.53,180
3977333714,2016-04-22,1,355,476,2016-04-22,5.92,7.93,121
3977333714,2016-04-23,1,235,372,2016-04-23,3.92,6.2,137
3977333714,2016-04-24,1,310,526,2016-04-24,5.17,8.77,216
3977333714,2016-04-25,1,262,467,2016-04-25,4.37,7.78,205
3977333714,2016-04-26,1,250,371,2016-04-26,4.17,6.18,121
3977333714,2016-04-27,1,349,540,2016-04-27,5.82,9.0,191
3977333714,2016-04-28,1,261,423,2016-04-28,4.35,7.05,162
3977333714,2016-04-29,1,333,478,2016-04-29,5.55,7.97,145
3977333714,2016-04-30,1,237,382,2016-04-30,3.95,6.37,145
3977333714,2016-05-01,1,383,626,2016-05-01,6.38,10.43,243
3977333714,2016-05-02,1,230,384,2016-05-02,3.83,6.4,154
3977333714,2016-05-03,1,292,500,2016-05-03,4.87,8.33,208
3977333714,2016-05-04,1,213,336,2016-05-04,3.55,5.6,123
3977333714,2016-05-05,1,318,480,2016-05-05,5.3,8.0,162
3977333714,2016-05-06,1,323,512,2016-05-06,5.38,8.53,189
3977333714,2016-05-07,1,237,443,2016-05-07,3.95,7.38,206
3977333714,2016-05-08,2,259,456,2016-05-08,4.32,7.6,197
3977333714,2016-05-10,1,312,452,2016-05-10,5.2,7.53,140
4020332650,2016-04-12,1,501,541,2016-04-12,8.35,9.02,40
4020332650,2016-04-16,1,77,77,2016-04-16,1.28,1.28,0
4020332650,2016-05-03,1,322,332,2016-05-03,5.37,5.53,10
4020332650,2016-05-04,1,478,536,2016-05-04,7.97,8.93,58
4020332650,2016-05-05,1,226,248,2016-05-05,3.77,4.13,22
4020332650,2016-05-06,1,385,408,2016-05-06,6.42,6.8,23
4020332650,2016-05-08,1,364,402,2016-05-08,6.07,6.7,38
4020332650,2016-05-10,1,442,494,2016-05-10,7.37,8.23,52
4319703577,2016-04-14,1,535,557,2016-04-14,8.92,9.28,22
4319703577,2016-04-15,1,465,491,2016-04-15,7.75,8.18,26
4319703577,2016-04-16,1,506,522,2016-04-16,8.43,8.7,16
4319703577,2016-04-18,1,515,551,2016-04-18,8.58,9.18,36
4319703577,2016-04-19,2,461,498,2016-04-19,7.68,8.3,37
4319703577,2016-04-20,1,523,543,2016-04-20,8.72,9.05,20
4319703577,2016-04-21,1,59,65,2016-04-21,0.98,1.08,6
4319703577,2016-04-22,1,533,550,2016-04-22,8.88,9.17,17
4319703577,2016-04-23,1,692,722,2016-04-23,11.53,12.03,30
4319703577,2016-04-24,1,467,501,2016-04-24,7.78,8.35,34
4319703577,2016-04-25,1,488,506,2016-04-25,8.13,8.43,18
4319703577,2016-04-26,1,505,516,2016-04-26,8.42,8.6,11
4319703577,2016-04-27,1,286,307,2016-04-27,4.77,5.12,21
4319703577,2016-04-28,1,497,522,2016-04-28,8.28,8.7,25
4319703577,2016-04-29,1,523,546,2016-04-29,8.72,9.1,23
4319703577,2016-04-30,1,490,516,2016-04-30,8.17,8.6,26
4319703577,2016-05-01,1,484,500,2016-05-01,8.07,8.33,16
4319703577,2016-05-02,1,478,506,2016-05-02,7.97,8.43,28
4319703577,2016-05-03,1,474,512,2016-05-03,7.9,8.53,38
4319703577,2016-05-06,1,450,491,2016-05-06,7.5,8.18,41
4319703577,2016-05-07,1,507,530,2016-05-07,8.45,8.83,23
4319703577,2016-05-08,1,602,638,2016-05-08,10.03,10.63,36
4319703577,2016-05-09,1,535,565,2016-05-09,8.92,9.42,30
4319703577,2016-05-10,1,487,517,2016-05-10,8.12,8.62,30
4319703577,2016-05-11,1,529,558,2016-05-11,8.82,9.3,29
4319703577,2016-05-12,1,302,321,2016-05-12,5.03,5.35,19
4388161847,2016-04-15,1,499,526,2016-04-15,8.32,8.77,27
4388161847,2016-04-16,2,426,448,2016-04-16,7.1,7.47,22
4388161847,2016-04-17,2,619,641,2016-04-17,10.32,10.68,22
4388161847,2016-04-18,1,99,104,2016-04-18,1.65,1.73,5
4388161847,2016-04-19,1,329,338,2016-04-19,5.48,5.63,9
4388161847,2016-04-20,1,421,451,2016-04-20,7.02,7.52,30
4388161847,2016-04-21,1,442,458,2016-04-21,7.37,7.63,16
4388161847,2016-04-22,1,82,85,2016-04-22,1.37,1.42,3
4388161847,2016-04-23,1,478,501,2016-04-23,7.97,8.35,23
4388161847,2016-04-24,3,552,595,2016-04-24,9.2,9.92,43
4388161847,2016-04-26,1,319,346,2016-04-26,5.32,5.77,27
4388161847,2016-04-27,1,439,500,2016-04-27,7.32,8.33,61
4388161847,2016-04-28,1,428,458,2016-04-28,7.13,7.63,30
4388161847,2016-04-30,2,409,430,2016-04-30,6.82,7.17,21
4388161847,2016-05-01,1,547,597,2016-05-01,9.12,9.95,50
4388161847,2016-05-02,2,368,376,2016-05-02,6.13,6.27,8
4388161847,2016-05-04,1,390,414,2016-05-04,6.5,6.9,24
4388161847,2016-05-05,1,471,495,2016-05-05,7.85,8.25,24
4388161847,2016-05-07,1,472,496,2016-05-07,7.87,8.27,24
4388161847,2016-05-08,2,529,541,2016-05-08,8.82,9.02,12
4388161847,2016-05-09,1,62,65,2016-05-09,1.03,1.08,3
4388161847,2016-05-10,1,354,375,2016-05-10,5.9,6.25,21
4388161847,2016-05-11,1,469,494,2016-05-11,7.82,8.23,25
4445114986,2016-04-12,2,429,457,2016-04-12,7.15,7.62,28
4445114986,2016-04-13,2,370,406,2016-04-13,6.17,6.77,36
4445114986,2016-04-14,1,441,492,2016-04-14,7.35,8.2,51
4445114986,2016-04-15,2,337,379,2016-04-15,5.62,6.32,42
4445114986,2016-04-16,1,462,499,2016-04-16,7.7,8.32,37
4445114986,2016-04-17,1,98,107,2016-04-17,1.63,1.78,9
4445114986,2016-04-19,2,388,424,2016-04-19,6.47,7.07,36
4445114986,2016-04-20,1,439,462,2016-04-20,7.32,7.7,23
4445114986,2016-04-21,1,436,469,2016-04-21,7.27,7.82,33
4445114986,2016-04-22,1,388,417,2016-04-22,6.47,6.95,29
4445114986,2016-04-25,1,328,345,2016-04-25,5.47,5.75,17
4445114986,2016-04-26,2,353,391,2016-04-26,5.88,6.52,38
4445114986,2016-04-27,1,332,374,2016-04-27,5.53,6.23,42
4445114986,2016-04-28,1,419,442,2016-04-28,6.98,7.37,23
4445114986,2016-04-29,1,106,108,2016-04-29,1.77,1.8,2
4445114986,2016-04-30,1,322,353,2016-04-30,5.37,5.88,31
4445114986,2016-05-01,2,439,459,2016-05-01,7.32,7.65,20
4445114986,2016-05-02,1,502,542,2016-05-02,8.37,9.03,40
4445114986,2016-05-03,2,417,450,2016-05-03,6.95,7.5,33
4445114986,2016-05-04,2,337,363,2016-05-04,5.62,6.05,26
4445114986,2016-05-05,2,462,513,2016-05-05,7.7,8.55,51
4445114986,2016-05-06,2,374,402,2016-05-06,6.23,6.7,28
4445114986,2016-05-07,2,401,436,2016-05-07,6.68,7.27,35
4445114986,2016-05-08,1,361,391,2016-05-08,6.02,6.52,30
4445114986,2016-05-09,1,457,533,2016-05-09,7.62,8.88,76
4445114986,2016-05-10,1,405,426,2016-05-10,6.75,7.1,21
4445114986,2016-05-11,1,499,530,2016-05-11,8.32,8.83,31
4445114986,2016-05-12,1,483,501,2016-05-12,8.05,8.35,18
4558609924,2016-04-21,1,126,137,2016-04-21,2.1,2.28,11
4558609924,2016-04-26,1,103,121,2016-04-26,1.72,2.02,18
4558609924,2016-04-29,1,171,179,2016-04-29,2.85,2.98,8
4558609924,2016-05-01,1,115,129,2016-05-01,1.92,2.15,14
4558609924,2016-05-08,1,123,134,2016-05-08,2.05,2.23,11
4702921684,2016-04-12,1,425,439,2016-04-12,7.08,7.32,14
4702921684,2016-04-13,2,400,430,2016-04-13,6.67,7.17,30
4702921684,2016-04-14,1,384,415,2016-04-14,6.4,6.92,31
4702921684,2016-04-15,1,253,257,2016-04-15,4.22,4.28,4
4702921684,2016-04-16,2,382,406,2016-04-16,6.37,6.77,24
4702921684,2016-04-17,1,591,612,2016-04-17,9.85,10.2,21
4702921684,2016-04-18,1,293,312,2016-04-18,4.88,5.2,19
4702921684,2016-04-19,1,457,487,2016-04-19,7.62,8.12,30
4702921684,2016-04-20,1,454,468,2016-04-20,7.57,7.8,14
4702921684,2016-04-21,1,425,434,2016-04-21,7.08,7.23,9
4702921684,2016-04-23,1,465,475,2016-04-23,7.75,7.92,10
4702921684,2016-04-24,1,480,506,2016-04-24,8.0,8.43,26
4702921684,2016-04-25,1,370,380,2016-04-25,6.17,6.33,10
4702921684,2016-04-26,1,421,429,2016-04-26,7.02,7.15,8
4702921684,2016-04-27,1,432,449,2016-04-27,7.2,7.48,17
4702921684,2016-04-28,1,442,461,2016-04-28,7.37,7.68,19
4702921684,2016-04-29,1,433,447,2016-04-29,7.22,7.45,14
4702921684,2016-04-30,1,479,501,2016-04-30,7.98,8.35,22
4702921684,2016-05-03,1,327,373,2016-05-03,5.45,6.22,46
4702921684,2016-05-04,1,412,434,2016-05-04,6.87,7.23,22
4702921684,2016-05-05,1,414,428,2016-05-05,6.9,7.13,14
4702921684,2016-05-06,1,404,449,2016-05-06,6.73,7.48,45
4702921684,2016-05-07,1,520,543,2016-05-07,8.67,9.05,23
4702921684,2016-05-09,1,435,458,2016-05-09,7.25,7.63,23
4702921684,2016-05-10,1,416,431,2016-05-10,6.93,7.18,15
4702921684,2016-05-11,1,354,366,2016-05-11,5.9,6.1,12
4702921684,2016-05-12,1,404,442,2016-05-12,6.73,7.37,38
5553957443,2016-04-12,1,441,464,2016-04-12,7.35,7.73,23
5553957443,2016-04-13,2,455,488,2016-04-13,7.58,8.13,33
5553957443,2016-04-14,1,357,418,2016-04-14,5.95,6.97,61
5553957443,2016-04-15,1,377,409,2016-04-15,6.28,6.82,32
5553957443,2016-04-16,2,651,686,2016-04-16,10.85,11.43,35
5553957443,2016-04-17,1,350,402,2016-04-17,5.83,6.7,52
5553957443,2016-04-18,2,520,541,2016-04-18,8.67,9.02,21
5553957443,2016-04-19,1,357,410,2016-04-19,5.95,6.83,53
5553957443,2016-04-20,1,658,678,2016-04-20,10.97,11.3,20
5553957443,2016-04-21,1,399,431,2016-04-21,6.65,7.18,32
5553957443,2016-04-22,1,322,353,2016-04-22,5.37,5.88,31
5553957443,2016-04-23,2,631,725,2016-04-23,10.52,12.08,94
5553957443,2016-04-24,2,553,640,2016-04-24,9.22,10.67,87
5553957443,2016-04-25,1,433,468,2016-04-25,7.22,7.8,35
5553957443,2016-04-26,1,412,453,2016-04-26,6.87,7.55,41
5553957443,2016-04-27,1,347,391,2016-04-27,5.78,6.52,44
5553957443,2016-04-28,1,421,457,2016-04-28,7.02,7.62,36
5553957443,2016-04-29,1,450,495,2016-04-29,7.5,8.25,45
5553957443,2016-04-30,2,775,843,2016-04-30,12.92,14.05,68
5553957443,2016-05-01,2,622,686,2016-05-01,10.37,11.43,64
5553957443,2016-05-02,1,409,471,2016-05-02,6.82,7.85,62
5553957443,2016-05-03,1,380,429,2016-05-03,6.33,7.15,49
5553957443,2016-05-04,1,447,470,2016-05-04,7.45,7.83,23
5553957443,2016-05-05,1,419,464,2016-05-05,6.98,7.73,45
5553957443,2016-05-06,1,400,434,2016-05-06,6.67,7.23,34
5553957443,2016-05-07,1,442,470,2016-05-07,7.37,7.83,28
5553957443,2016-05-08,1,568,608,2016-05-08,9.47,10.13,40
5553957443,2016-05-09,1,453,494,2016-05-09,7.55,8.23,41
5553957443,2016-05-10,1,418,443,2016-05-10,6.97,7.38,25
5553957443,2016-05-11,1,463,486,2016-05-11,7.72,8.1,23
5553957443,2016-05-12,1,438,475,2016-05-12,7.3,7.92,37
5577150313,2016-04-12,1,419,438,2016-04-12,6.98,7.3,19
5577150313,2016-04-13,1,432,458,2016-04-13,7.2,7.63,26
5577150313,2016-04-14,1,477,497,2016-04-14,7.95,8.28,20
5577150313,2016-04-15,1,392,413,2016-04-15,6.53,6.88,21
5577150313,2016-04-16,1,406,445,2016-04-16,6.77,7.42,39
5577150313,2016-04-17,1,549,583,2016-04-17,9.15,9.72,34
5577150313,2016-04-18,1,527,553,2016-04-18,8.78,9.22,26
5577150313,2016-04-19,1,449,465,2016-04-19,7.48,7.75,16
5577150313,2016-04-20,1,447,480,2016-04-20,7.45,8.0,33
5577150313,2016-04-21,1,414,437,2016-04-21,6.9,7.28,23
5577150313,2016-04-22,1,338,366,2016-04-22,5.63,6.1,28
5577150313,2016-04-23,1,384,402,2016-04-23,6.4,6.7,18
5577150313,2016-04-24,1,543,615,2016-04-24,9.05,10.25,72
5577150313,2016-04-25,1,421,461,2016-04-25,7.02,7.68,40
5577150313,2016-04-26,1,354,377,2016-04-26,5.9,6.28,23
5577150313,2016-04-27,1,424,452,2016-04-27,7.07,7.53,28
5577150313,2016-04-28,1,361,372,2016-04-28,6.02,6.2,11
5577150313,2016-04-29,1,459,485,2016-04-29,7.65,8.08,26
5577150313,2016-04-30,1,412,433,2016-04-30,6.87,7.22,21
5577150313,2016-05-01,1,379,398,2016-05-01,6.32,6.63,19
5577150313,2016-05-02,2,525,553,2016-05-02,8.75,9.22,28
5577150313,2016-05-03,1,508,543,2016-05-03,8.47,9.05,35
5577150313,2016-05-04,1,603,634,2016-05-04,10.05,10.57,31
5577150313,2016-05-05,1,74,78,2016-05-05,1.23,1.3,4
5577150313,2016-05-10,1,504,562,2016-05-10,8.4,9.37,58
5577150313,2016-05-11,1,431,476,2016-05-11,7.18,7.93,45
6117666160,2016-04-16,1,380,398,2016-04-16,6.33,6.63,18
6117666160,2016-04-17,2,336,350,2016-04-17,5.6,5.83,14
6117666160,2016-04-18,2,493,510,2016-04-18,8.22,8.5,17
6117666160,2016-04-19,1,465,492,2016-04-19,7.75,8.2,27
6117666160,2016-04-20,1,474,502,2016-04-20,7.9,8.37,28
6117666160,2016-04-21,1,508,550,2016-04-21,8.47,9.17,42
6117666160,2016-04-22,1,480,546,2016-04-22,8.0,9.1,66
6117666160,2016-04-23,1,492,539,2016-04-23,8.2,8.98,47
6117666160,2016-04-24,1,353,367,2016-04-24,5.88,6.12,14
6117666160,2016-04-27,1,542,557,2016-04-27,9.03,9.28,15
6117666160,2016-04-28,1,393,416,2016-04-28,6.55,6.93,23
6117666160,2016-04-29,1,600,636,2016-04-29,10.0,10.6,36
6117666160,2016-05-01,1,507,575,2016-05-01,8.45,9.58,68
6117666160,2016-05-05,1,392,415,2016-05-05,6.53,6.92,23
6117666160,2016-05-06,2,658,698,2016-05-06,10.97,11.63,40
6117666160,2016-05-07,2,498,507,2016-05-07,8.3,8.45,9
6117666160,2016-05-08,1,555,603,2016-05-08,9.25,10.05,48
6117666160,2016-05-09,1,492,522,2016-05-09,8.2,8.7,30
6775888955,2016-04-13,1,235,260,2016-04-13,3.92,4.33,25
6775888955,2016-04-14,1,423,441,2016-04-14,7.05,7.35,18
6775888955,2016-04-15,1,391,406,2016-04-15,6.52,6.77,15
6962181067,2016-04-12,1,366,387,2016-04-12,6.1,6.45,21
6962181067,2016-04-13,3,630,679,2016-04-13,10.5,11.32,49
6962181067,2016-04-14,2,508,535,2016-04-14,8.47,8.92,27
6962181067,2016-04-15,1,370,386,2016-04-15,6.17,6.43,16
6962181067,2016-04-16,1,357,366,2016-04-16,5.95,6.1,9
6962181067,2016-04-17,1,427,446,2016-04-17,7.12,7.43,19
6962181067,2016-04-18,1,442,458,2016-04-18,7.37,7.63,16
6962181067,2016-04-19,1,476,535,2016-04-19,7.93,8.92,59
6962181067,2016-04-20,1,418,424,2016-04-20,6.97,7.07,6
6962181067,2016-04-21,1,451,457,2016-04-21,7.52,7.62,6
6962181067,2016-04-22,1,425,435,2016-04-22,7.08,7.25,10
6962181067,2016-04-23,1,528,546,2016-04-23,8.8,9.1,18
6962181067,2016-04-24,1,511,514,2016-04-24,8.52,8.57,3
6962181067,2016-04-25,1,400,415,2016-04-25,6.67,6.92,15
6962181067,2016-04-26,1,441,446,2016-04-26,7.35,7.43,5
6962181067,2016-04-27,1,455,467,2016-04-27,7.58,7.78,12
6962181067,2016-04-28,1,440,453,2016-04-28,7.33,7.55,13
6962181067,2016-04-29,1,433,447,2016-04-29,7.22,7.45,14
6962181067,2016-04-30,1,422,424,2016-04-30,7.03,7.07,2
6962181067,2016-05-01,1,411,426,2016-05-01,6.85,7.1,15
6962181067,2016-05-02,1,466,482,2016-05-02,7.77,8.03,16
6962181067,2016-05-03,1,394,418,2016-05-03,6.57,6.97,24
6962181067,2016-05-04,1,442,455,2016-05-04,7.37,7.58,13
6962181067,2016-05-05,1,467,491,2016-05-05,7.78,8.18,24
6962181067,2016-05-06,1,443,462,2016-05-06,7.38,7.7,19
6962181067,2016-05-07,1,298,334,2016-05-07,4.97,5.57,36
6962181067,2016-05-08,1,541,569,2016-05-08,9.02,9.48,28
6962181067,2016-05-09,1,489,497,2016-05-09,8.15,8.28,8
6962181067,2016-05-10,1,469,481,2016-05-10,7.82,8.02,12
6962181067,2016-05-11,1,452,480,2016-05-11,7.53,8.0,28
6962181067,2016-05-12,1,516,535,2016-05-12,8.6,8.92,19
7007744171,2016-04-16,1,79,82,2016-04-16,1.32,1.37,3
7007744171,2016-05-01,1,58,61,2016-05-01,0.97,1.02,3
7086361926,2016-04-12,1,514,525,2016-04-12,8.57,8.75,11
7086361926,2016-04-13,1,451,465,2016-04-13,7.52,7.75,14
7086361926,2016-04-14,1,472,476,2016-04-14,7.87,7.93,4
7086361926,2016-04-15,1,377,386,2016-04-15,6.28,6.43,9
7086361926,2016-04-19,1,472,483,2016-04-19,7.87,8.05,11
7086361926,2016-04-20,1,492,502,2016-04-20,8.2,8.37,10
7086361926,2016-04-21,1,390,411,2016-04-21,6.5,6.85,21
7086361926,2016-04-22,1,428,448,2016-04-22,7.13,7.47,20
7086361926,2016-04-24,1,681,704,2016-04-24,11.35,11.73,23
7086361926,2016-04-25,1,446,447,2016-04-25,7.43,7.45,1
7086361926,2016-04-26,1,485,500,2016-04-26,8.08,8.33,15
7086361926,2016-04-27,1,469,479,2016-04-27,7.82,7.98,10
7086361926,2016-04-28,1,354,367,2016-04-28,5.9,6.12,13
7086361926,2016-04-30,1,485,489,2016-04-30,8.08,8.15,4
7086361926,2016-05-01,1,388,407,2016-05-01,6.47,6.78,19
7086361926,2016-05-02,1,440,459,2016-05-02,7.33,7.65,19
7086361926,2016-05-03,1,456,461,2016-05-03,7.6,7.68,5
7086361926,2016-05-04,1,420,436,2016-05-04,7.0,7.27,16
7086361926,2016-05-06,1,322,333,2016-05-06,5.37,5.55,11
7086361926,2016-05-07,1,530,548,2016-05-07,8.83,9.13,18
7086361926,2016-05-08,1,481,510,2016-05-08,8.02,8.5,29
7086361926,2016-05-09,1,427,438,2016-05-09,7.12,7.3,11
7086361926,2016-05-11,1,451,463,2016-05-11,7.52,7.72,12
7086361926,2016-05-12,1,444,457,2016-05-12,7.4,7.62,13
8053475328,2016-04-20,1,486,493,2016-04-20,8.1,8.22,7
8053475328,2016-04-23,1,331,337,2016-04-23,5.52,5.62,6
8053475328,2016-05-07,1,74,75,2016-05-07,1.23,1.25,1
8378563200,2016-04-12,1,338,356,2016-04-12,5.63,5.93,18
8378563200,2016-04-13,2,447,487,2016-04-13,7.45,8.12,40
8378563200,2016-04-14,1,424,455,2016-04-14,7.07,7.58,31
8378563200,2016-04-15,1,513,533,2016-04-15,8.55,8.88,20
8378563200,2016-04-16,2,611,689,2016-04-16,10.18,11.48,78
8378563200,2016-04-17,2,525,591,2016-04-17,8.75,9.85,66
8378563200,2016-04-18,1,398,451,2016-04-18,6.63,7.52,53
8378563200,2016-04-19,1,387,421,2016-04-19,6.45,7.02,34
8378563200,2016-04-20,1,381,409,2016-04-20,6.35,6.82,28
8378563200,2016-04-21,1,396,417,2016-04-21,6.6,6.95,21
8378563200,2016-04-22,1,441,469,2016-04-22,7.35,7.82,28
8378563200,2016-04-23,1,565,591,2016-04-23,9.42,9.85,26
8378563200,2016-04-24,1,458,492,2016-04-24,7.63,8.2,34
8378563200,2016-04-25,1,388,402,2016-04-25,6.47,6.7,14
8378563200,2016-04-26,1,550,584,2016-04-26,9.17,9.73,34
8378563200,2016-04-27,1,531,600,2016-04-27,8.85,10.0,69
8378563200,2016-04-28,1,506,556,2016-04-28,8.43,9.27,50
8378563200,2016-04-29,1,527,562,2016-04-29,8.78,9.37,35
8378563200,2016-04-30,1,468,555,2016-04-30,7.8,9.25,87
8378563200,2016-05-01,1,475,539,2016-05-01,7.92,8.98,64
8378563200,2016-05-02,1,351,385,2016-05-02,5.85,6.42,34
8378563200,2016-05-03,1,405,429,2016-05-03,6.75,7.15,24
8378563200,2016-05-04,1,441,477,2016-05-04,7.35,7.95,36
8378563200,2016-05-05,1,381,417,2016-05-05,6.35,6.95,36
8378563200,2016-05-06,1,323,355,2016-05-06,5.38,5.92,32
8378563200,2016-05-07,2,459,513,2016-05-07,7.65,8.55,54
8378563200,2016-05-08,1,545,606,2016-05-08,9.08,10.1,61
8378563200,2016-05-09,1,359,399,2016-05-09,5.98,6.65,40
8378563200,2016-05-10,1,342,391,2016-05-10,5.7,6.52,49
8378563200,2016-05-11,1,368,387,2016-05-11,6.13,6.45,19
8378563200,2016-05-12,1,496,546,2016-05-12,8.27,9.1,50
8792009665,2016-04-12,1,458,493,2016-04-12,7.63,8.22,35
